metric,topic,start_len,end_len,word_range,auc_resultsTROracleLite75_simulation_0,auc_topic,aucNorm_resultsTROracleLite75_simulation_0,score_limit,limit_wordCount_resultsTROracleLite75_simulation_0,limit_wordCount_topic,limit_relativeWordCount_resultsTROracleLite75_simulation_0,wordcount_limit_-inf,limit_F1score_resultsTROracleLite75_simulation_0_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_resultsTROracleLite75_simulation_0_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_resultsTROracleLite75_simulation_0_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_resultsTROracleLite75_simulation_0_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_resultsTROracleLite75_simulation_0_350,limit_F1score_avg_350
R2,D0615,105,333,228,14.4158738,14.4158738,0.063227517,0.06,169.042879,169.042879,0.146718868,#NAME?,0.03523,0.03523,100,0.040000448,0.040000448,150,0.057037761,0.057037761,250,0.07499873,0.07499873,350,0.09312087,0.09312087
R2,D0616,105,333,228,12.43107785,12.43107785,0.054522271,0.06,217.573913,217.573913,0.257035262,#NAME?,0.02862,0.02862,100,0.032515094,0.032515094,150,0.045791071,0.045791071,250,0.071237872,0.071237872,350,0.078682353,0.078682353
R2,D0617,105,333,228,24.845606,24.845606,0.108971956,0.06,72.944989,72.944989,0.089319083,#NAME?,0.02513,0.02513,100,0.0835392,0.0835392,150,0.125775556,0.125775556,250,0.121851,0.121851,350,0.130685102,0.130685102
R2,D0620,105,333,228,13.56467799,13.56467799,0.059494202,0.06,175.7957245,175.7957245,0.17385292,#NAME?,0.03931,0.03931,100,0.041562903,0.041562903,150,0.05095,0.05095,250,0.071621724,0.071621724,350,0.0793725,0.0793725
R2,D0624,105,333,228,20.3076928,20.3076928,0.089068828,0.06,127.6860548,127.6860548,0.074253464,#NAME?,0.02688,0.02688,100,0.036297347,0.036297347,150,0.07271,0.07271,250,0.117318462,0.117318462,350,0.1364,0.1364
R2,D0627,105,333,228,11.64788417,11.64788417,0.051087211,0.06,206.3026764,206.3026764,0.38333884,#NAME?,0.00754,0.00754,100,0.027489403,0.027489403,150,0.040196667,0.040196667,250,0.062739508,0.062739508,350,0.075151176,0.075151176
R2,D0628,105,333,228,10.733493,10.733493,0.047076724,0.06,307.2428571,307.2428571,0.383762537,#NAME?,0.03434,0.03434,100,,nan,150,0.043032857,0.043032857,250,0.054267778,0.054267778,350,0.069976667,0.069976667
R2,D0629,105,333,228,12.4126513,12.4126513,0.054441453,0.06,232.387156,232.387156,0.311132045,#NAME?,0.04082,0.04082,100,0.042276304,0.042276304,150,0.051512344,0.051512344,250,0.061845962,0.061845962,350,0.067156304,0.067156304
R2,D0630,105,333,228,21.38449448,21.38449448,0.093791642,0.06,105.2495164,105.2495164,0.054117848,#NAME?,0.03079,0.03079,100,0.054572,0.054572,150,0.09215807,0.09215807,250,0.113068571,0.113068571,350,0.107847419,0.107847419
R2,D0631,105,333,228,17.87471003,17.87471003,0.078397851,0.06,94.00324851,94.00324851,0.012276582,#NAME?,0.05736,0.05736,100,0.062637143,0.062637143,150,0.079214,0.079214,250,0.088950857,0.088950857,350,0.098975714,0.098975714
R2,D0640,105,333,228,20.12292704,20.12292704,0.088258452,0.06,117.7947725,117.7947725,0.043982944,#NAME?,0.03542,0.03542,100,0.041618,0.041618,150,0.087225789,0.087225789,250,0.109492963,0.109492963,350,0.112489231,0.112489231
R2,D0643,105,333,228,25.56926452,25.56926452,0.112145897,0.06,,nan,1,#NAME?,0.07591,0.07591,100,0.077326667,0.077326667,150,0.100937778,0.100937778,250,0.133410833,0.133410833,350,0.15181,0.15181
R2,D0645,105,333,228,14.5239625,14.5239625,0.06370159,0.06,189.2257218,189.2257218,0.182087269,#NAME?,0.03461,0.03461,100,0.035656667,0.035656667,150,0.057282727,0.057282727,250,0.078540984,0.078540984,350,0.091861875,0.091861875
R2,D0647,105,333,228,29.75316657,29.75316657,0.130496345,0.06,,nan,1,#NAME?,0.08909,0.08909,100,0.095666585,0.095666585,150,0.12365087,0.12365087,250,0.153003684,0.153003684,350,0.167923276,0.167923276
R2,D0650,105,333,228,13.26123874,13.26123874,0.058163328,0.06,192.4887218,192.4887218,0.164955536,#NAME?,0.03875,0.03875,100,0.040048148,0.040048148,150,0.05293625,0.05293625,250,0.0668325,0.0668325,350,0.079777826,0.079777826
R2,AVG,105,333,228,16.33684216,16.33684216,0.071652817,0.06,,184.7365038,0.312538183,#NAME?,0.039186667,0.039186667,100,0.04807971,nan,150,0.067612608,0.067612608,250,0.085427564,0.085427564,350,0.094479687,0.094479687
R2,STD,0,0,0,5.543483965,5.543483965,0.024313526,0.06,,84.19117357,0.314145386,#NAME?,0.019296225,0.019296225,100,0.020025493,nan,150,0.025693194,0.025693194,250,0.029651872,0.029651872,350,0.029994892,0.029994892
R2,BootAvg,,,,,16.30562205,,,,183.7625872,,#NAME?,,0.039016667,100,,nan,150,,0.067422085,250,,0.08517424,350,,0.094164295
R2,BootLower,,,,2.208736219,14.09688583,,,,148.3252714,,#NAME?,0.007660155,0.031356512,100,,nan,150,0.01005681,0.057365275,250,0.012015837,0.073158403,350,0.01193183,0.082232464
R2,BootUpper,,,,2.51198537,18.81760742,,,,225.2007524,,#NAME?,0.008879571,0.047896238,100,,nan,150,0.011368917,0.078791002,250,0.012911536,0.098085776,350,0.013404016,0.107568311
,,,,,,,,,,,,,,,,,,,,,,,,,,
RL,D0601,105,333,228,63.71380175,63.71380175,0.279446499,0.29,162.5225753,162.5225753,0.146876344,#NAME?,0.20642,0.20642,100,0.226606809,0.226606809,150,0.283293881,0.283293881,250,0.316094194,0.316094194,350,0.317868333,0.317868333
RL,D0602,105,333,228,54.47070526,54.47070526,0.238906602,0.29,286.7719298,286.7719298,0.347963772,#NAME?,0.16864,0.16864,100,0.1756275,0.1756275,150,0.230500727,0.230500727,250,0.281529365,0.281529365,350,0.296361579,0.296361579
RL,D0603,105,333,228,59.4694925,59.4694925,0.260831107,0.29,188.549086,188.549086,0.183923776,#NAME?,0.17581,0.17581,100,0.1932675,0.1932675,150,0.250733103,0.250733103,250,0.317972157,0.317972157,350,0.3079028,0.3079028
RL,D0605,105,333,228,57.60139217,57.60139217,0.252637685,0.29,159.9300721,159.9300721,0.172733813,#NAME?,0.22206,0.22206,100,0.237541667,0.237541667,150,0.282635581,0.282635581,250,0.285664,0.285664,350,0.290853415,0.290853415
RL,D0608,105,333,228,63.49737629,63.49737629,0.278497264,0.29,146.6216901,146.6216901,0.131389531,#NAME?,0.20367,0.20367,100,0.224684516,0.224684516,150,0.291712273,0.291712273,250,0.317108857,0.317108857,350,0.315729474,0.315729474
RL,D0614,105,333,228,68.6784485,68.6784485,0.301221265,0.29,149.8403361,149.8403361,0.13112445,#NAME?,0.19954,0.19954,100,0.231358372,0.231358372,150,0.290114,0.290114,250,0.361577419,0.361577419,350,0.349012308,0.349012308
RL,D0615,105,333,228,56.695968,56.695968,0.248666526,0.29,246.8001069,246.8001069,0.284099129,#NAME?,0.17656,0.17656,100,0.19224209,0.19224209,150,0.248249552,0.248249552,250,0.291900635,0.291900635,350,0.322028913,0.322028913
RL,D0616,105,333,228,60.62075392,60.62075392,0.2658805,0.29,199.2151755,199.2151755,0.220896015,#NAME?,0.19312,0.19312,100,0.208349623,0.208349623,150,0.261124286,0.261124286,250,0.315322979,0.315322979,350,0.325730588,0.325730588
RL,D0617,105,333,228,65.82470413,65.82470413,0.288704843,0.29,141.9130813,141.9130813,0.229498133,#NAME?,0.09804,0.09804,100,0.2321348,0.2321348,150,0.294498667,0.294498667,250,0.3300455,0.3300455,350,0.348924694,0.348924694
RL,D0620,105,333,228,59.80563859,59.80563859,0.262305432,0.29,185.8476298,185.8476298,0.193757683,#NAME?,0.21938,0.21938,100,0.226218065,0.226218065,150,0.25471,0.25471,250,0.311218966,0.311218966,350,0.29994625,0.29994625
RL,D0624,105,333,228,70.28921314,70.28921314,0.308286023,0.29,147.4341421,147.4341421,0.112157662,#NAME?,0.20342,0.20342,100,0.220712449,0.220712449,150,0.292597368,0.292597368,250,0.374468615,0.374468615,350,0.39947,0.39947
RL,D0627,105,333,228,58.97632117,58.97632117,0.258668075,0.29,197.8625173,197.8625173,0.365972258,#NAME?,0.07109,0.07109,100,0.188078209,0.188078209,150,0.231988889,0.231988889,250,0.313707049,0.313707049,350,0.326271176,0.326271176
RL,D0628,105,333,228,60.108672,60.108672,0.263634526,0.29,206.6856894,206.6856894,0.192951972,#NAME?,0.18919,0.18919,100,,nan,150,0.241975714,0.241975714,250,0.313187937,0.313187937,350,0.3254105,0.3254105
RL,D0629,105,333,228,57.219,57.219,0.250960526,0.29,250.84,250.84,0.352321429,#NAME?,0.19131,0.19131,100,0.199165217,0.199165217,150,0.24987375,0.24987375,250,0.289882885,0.289882885,350,0.295462174,0.295462174
RL,D0630,105,333,228,69.28910729,69.28910729,0.303899593,0.29,136.2785112,136.2785112,0.113560366,#NAME?,0.20199,0.20199,100,0.2371432,0.2371432,150,0.307139825,0.307139825,250,0.359038571,0.359038571,350,0.34834,0.34834
RL,D0631,105,333,228,66.00586033,66.00586033,0.289499387,0.29,152.9264937,152.9264937,0.132774016,#NAME?,0.22205,0.22205,100,0.234798571,0.234798571,150,0.287022,0.287022,250,0.339072,0.339072,350,0.346945357,0.346945357
RL,D0640,105,333,228,68.79989717,68.79989717,0.301753935,0.29,138.2319556,138.2319556,0.081759622,#NAME?,0.20396,0.20396,100,0.2156312,0.2156312,150,0.305544211,0.305544211,250,0.36234463,0.36234463,350,0.347270385,0.347270385
RL,D0643,105,333,228,67.25936403,67.25936403,0.294997211,0.29,146.7490775,146.7490775,0.088364258,#NAME?,0.23222,0.23222,100,0.235704286,0.235704286,150,0.293775714,0.293775714,250,0.352893333,0.352893333,350,0.36148,0.36148
RL,D0645,105,333,228,63.06965333,63.06965333,0.276621287,0.29,169.4706518,169.4706518,0.142655992,#NAME?,0.21936,0.21936,100,0.222015238,0.222015238,150,0.280169091,0.280169091,250,0.328081803,0.328081803,350,0.329492083,0.329492083
RL,D0647,105,333,228,78.64319703,78.64319703,0.344926303,0.29,104.8588375,104.8588375,0.04617947,#NAME?,0.2524,0.2524,100,0.282007805,0.282007805,150,0.340553696,0.340553696,250,0.407465263,0.407465263,350,0.424103966,0.424103966
RL,D0650,105,333,228,58.82355369,58.82355369,0.257998042,0.29,212.6824347,212.6824347,0.199124255,#NAME?,0.18667,0.18667,100,0.193452407,0.193452407,150,0.260392344,0.260392344,250,0.297617833,0.297617833,350,0.307039275,0.307039275
RL,AVG,105,333,228,63.27914858,63.27914858,0.277540125,0.29,,177.7158092,0.184289712,#NAME?,0.192233333,0.192233333,100,0.218836976,nan,150,0.275171651,0.275171651,250,0.326961619,0.326961619,350,0.33264968,0.33264968
RL,STD,0,0,0,5.702700704,5.702700704,0.025011845,0.29,,43.55729912,0.087913039,#NAME?,0.040163763,0.040163763,100,0.023491444,nan,150,0.027416709,0.027416709,250,0.03186743,0.03186743,350,0.03266712,0.03266712
RL,BootAvg,,,,,63.23067364,,,,177.5004102,,#NAME?,,0.192725476,100,,nan,150,,0.275075619,250,,0.326600685,350,,0.332359194
RL,BootLower,,,,2.243543606,60.98713003,,,,159.5631197,,#NAME?,0.018705214,0.174020262,100,,nan,150,0.011310705,0.263764914,250,0.012439547,0.314161138,350,0.012634822,0.319724372
RL,BootUpper,,,,2.537538529,65.76821217,,,,196.8776781,,#NAME?,0.014810726,0.207536202,100,,nan,150,0.012134197,0.287209816,250,0.014519084,0.34111977,350,0.015125574,0.347484767
,,,,,,,,,,,,,,,,,,,,,,,,,,
RSU,D0601,105,333,228,22.99198205,22.99198205,0.100842027,0.11,199.9016153,199.9016153,0.218621143,#NAME?,0.03891,0.03891,100,0.051983617,0.051983617,150,0.089711642,0.089711642,250,0.121910968,0.121910968,350,0.134656667,0.134656667
RSU,D0602,105,333,228,21.48419939,21.48419939,0.094228945,0.11,206.5893805,206.5893805,0.203229929,#NAME?,0.03012,0.03012,100,0.034755,0.034755,150,0.072925091,0.072925091,250,0.125572698,0.125572698,350,0.131297368,0.131297368
RSU,D0603,105,333,228,23.2991825,23.2991825,0.102189397,0.11,184.8210821,184.8210821,0.1773021,#NAME?,0.03422,0.03422,100,0.0452025,0.0452025,150,0.082149138,0.082149138,250,0.140271176,0.140271176,350,0.143464,0.143464
RSU,D0605,105,333,228,23.85308239,23.85308239,0.104618782,0.11,156.9789927,156.9789927,0.165838768,#NAME?,0.04917,0.04917,100,0.060327222,0.060327222,150,0.103587442,0.103587442,250,0.13514,0.13514,350,0.134884146,0.134884146
