metric,topic,start_len,end_len,word_range,auc_resultsClusteringSpacyOracleLite75_simulation_0,auc_topic,aucNorm_resultsClusteringSpacyOracleLite75_simulation_0,score_limit,limit_wordCount_resultsClusteringSpacyOracleLite75_simulation_0,limit_wordCount_topic,limit_relativeWordCount_resultsClusteringSpacyOracleLite75_simulation_0,wordcount_limit_-inf,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_350,limit_F1score_avg_350
R2,D0614,105,333,228,20.77279561,20.77279561,0.091108753,0.06,111.1558785,111.1558785,0.044579232,#NAME?,0.05401,0.05401,100,0.056983929,0.056983929,150,0.070941818,0.070941818,250,0.114263243,0.114263243,350,0.1274496,0.1274496
R2,D0615,105,333,228,15.09172703,15.09172703,0.066191785,0.06,185.5190909,185.5190909,0.213038182,#NAME?,0.02835,0.02835,100,0.036163448,0.036163448,150,0.052628113,0.052628113,250,0.082606949,0.082606949,350,0.096421,0.096421
R2,D0616,105,333,228,16.33214955,16.33214955,0.071632235,0.06,155.8064272,155.8064272,0.130992995,#NAME?,0.03561,0.03561,100,0.038677547,0.038677547,150,0.055958421,0.055958421,250,0.088547627,0.088547627,350,0.096946,0.096946
R2,D0617,105,333,228,21.9365342,21.9365342,0.096212869,0.06,117.0841121,117.0841121,0.082791548,#NAME?,0.03555,0.03555,100,0.049032,0.049032,150,0.081977143,0.081977143,250,0.121497317,0.121497317,350,0.120793111,0.120793111
R2,D0620,105,333,228,12.88585516,12.88585516,0.056516909,0.06,185.1610169,185.1610169,0.172526452,#NAME?,0.03986,0.03986,100,0.040407742,0.040407742,150,0.049536774,0.049536774,250,0.068233077,0.068233077,350,0.07398,0.07398
R2,D0624,105,333,228,24.41427635,24.41427635,0.107080159,0.06,,nan,1,#NAME?,0.06662,0.06662,100,0.081538095,0.081538095,150,0.098809615,0.098809615,250,0.126697907,0.126697907,350,0.142850455,0.142850455
R2,D0627,105,333,228,9.70357735,9.70357735,0.04255955,0.06,257.9031142,257.9031142,0.359629946,#NAME?,0.02017,0.02017,100,0.02182,0.02182,150,0.028428,0.028428,250,0.056027826,0.056027826,350,0.073247368,0.073247368
R2,D0628,105,333,228,14.20423531,14.20423531,0.062299278,0.06,112.5046235,112.5046235,0.071726512,#NAME?,0.04946,0.04946,100,0.056287843,0.056287843,150,0.065318929,0.065318929,250,0.07056913,0.07056913,350,0.076315283,0.076315283
R2,D0629,105,333,228,8.379644161,8.379644161,0.036752825,0.06,456.3698811,456.3698811,0.880870308,#NAME?,0.01533,0.01533,100,0.018261864,0.018261864,150,0.028059318,0.028059318,250,0.046,0.046,350,0.049746863,0.049746863
R2,D0630,105,333,228,19.98561897,19.98561897,0.087656224,0.06,,nan,1,#NAME?,0.06273,0.06273,100,0.066867931,0.066867931,150,0.084447895,0.084447895,250,0.103987021,0.103987021,350,0.104148966,0.104148966
R2,D0631,105,333,228,20.44987763,20.44987763,0.089692446,0.06,,nan,1,#NAME?,0.07004,0.07004,100,0.07538,0.07538,150,0.087936383,0.087936383,250,0.098852264,0.098852264,350,0.11559,0.11559
R2,D0640,105,333,228,21.11258476,21.11258476,0.092599056,0.06,,nan,1,#NAME?,0.07591,0.07591,100,0.081559787,0.081559787,150,0.093678113,0.093678113,250,0.107619825,0.107619825,350,0.111921311,0.111921311
R2,D0643,105,333,228,28.19007152,28.19007152,0.123640665,0.06,,nan,1,#NAME?,0.08675,0.08675,100,0.094650952,0.094650952,150,0.117691587,0.117691587,250,0.150408723,0.150408723,350,0.153013846,0.153013846
R2,D0645,105,333,228,13.63582555,13.63582555,0.059806252,0.06,198.6719278,198.6719278,0.233606157,#NAME?,0.03041,0.03041,100,0.035283684,0.035283684,150,0.047543158,0.047543158,250,0.07626,0.07626,350,0.086517292,0.086517292
R2,D0647,105,333,228,23.58686729,23.58686729,0.103451172,0.06,,nan,1,#NAME?,0.06011,0.06011,100,0.0654092,0.0654092,150,0.093308222,0.093308222,250,0.119268182,0.119268182,350,0.156137647,0.156137647
R2,D0650,105,333,228,15.91057959,15.91057959,0.069783244,0.06,,nan,1,#NAME?,0.06726,0.06726,100,0.0669915,0.0669915,150,0.065499833,0.065499833,250,0.080938776,0.080938776,350,0.090953043,0.090953043
R2,AVG,105,333,228,16.1768167,16.1768167,0.07095095,0.06,,234.705254,0.544977788,#NAME?,0.044547619,0.044547619,100,0.049621614,0.049621614,150,0.063467891,0.063467891,250,0.084911502,0.084911502,350,0.095881296,0.095881296
R2,STD,0,0,0,5.6731181,5.6731181,0.024882097,0.06,,107.1125415,0.37732097,#NAME?,0.020778483,0.020778483,100,0.021948378,0.021948378,150,0.025238611,0.025238611,250,0.029666392,0.029666392,350,0.030820122,0.030820122
R2,BootAvg,,,,,16.1459503,,,,234.3045834,,#NAME?,,0.044439286,100,,0.049554085,150,,0.063418108,250,,0.084900785,350,,0.095853509
R2,BootLower,,,,2.330384725,13.81556557,,,,180.7515542,,#NAME?,0.008769214,0.035670071,100,0.009179454,0.040374631,150,0.010628792,0.052789317,250,0.012268963,0.072631822,350,0.01283729,0.083016219
R2,BootUpper,,,,2.530766665,18.67671696,,,,291.7925275,,#NAME?,0.009065298,0.053504583,100,0.009331426,0.058885511,150,0.011025855,0.074443963,250,0.012800805,0.09770159,350,0.013408552,0.109262061
,,,,,,,,,,,,,,,,,,,,,,,,,,
RL,D0601,105,333,228,67.44253929,67.44253929,0.295800611,0.29,147.1894901,147.1894901,0.126163897,#NAME?,0.19938,0.19938,100,0.223664878,0.223664878,150,0.292714528,0.292714528,250,0.342684,0.342684,350,0.344050943,0.344050943
RL,D0602,105,333,228,52.82186884,52.82186884,0.231674863,0.29,350.3419811,350.3419811,0.508011035,#NAME?,0.15204,0.15204,100,0.176960213,0.176960213,150,0.222450727,0.222450727,250,0.282315185,0.282315185,350,0.289953968,0.289953968
RL,D0603,105,333,228,63.55470229,63.55470229,0.278748694,0.29,176.8721058,176.8721058,0.190222432,#NAME?,0.18459,0.18459,100,0.205353833,0.205353833,150,0.26015551,0.26015551,250,0.342467097,0.342467097,350,0.337268627,0.337268627
RL,D0605,105,333,228,50.97267058,50.97267058,0.223564345,0.29,359.4253472,359.4253472,0.668563368,#NAME?,0.18009,0.18009,100,0.182316909,0.182316909,150,0.199553929,0.199553929,250,0.267652553,0.267652553,350,0.285823846,0.285823846
RL,D0608,105,333,228,58.06319259,58.06319259,0.254663125,0.29,236.0788279,236.0788279,0.305429111,#NAME?,0.18703,0.18703,100,0.197488947,0.197488947,150,0.24603,0.24603,250,0.294888551,0.294888551,350,0.314248889,0.314248889
RL,D0614,105,333,228,69.0492892,69.0492892,0.30284776,0.29,141.5056849,141.5056849,0.105645241,#NAME?,0.22073,0.22073,100,0.235242143,0.235242143,150,0.297695455,0.297695455,250,0.360367297,0.360367297,350,0.3658776,0.3658776
