metric,topic,start_len,end_len,word_range,auc_resultsClusteringSpacyKeyphrases75_2_simulation_0,auc_topic,aucNorm_resultsClusteringSpacyKeyphrases75_2_simulation_0,score_limit,limit_wordCount_resultsClusteringSpacyKeyphrases75_2_simulation_0,limit_wordCount_topic,limit_relativeWordCount_resultsClusteringSpacyKeyphrases75_2_simulation_0,wordcount_limit_-inf,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_350,limit_F1score_avg_350
R2,BootUpper,,,,1.969128532,17.09393866,,,,240.489077,,#NAME?,0.009619625,0.054701625,100,0.009422028,0.060747515,150,0.008924059,0.074398478,250,0.009931801,0.088230996,350,0.011803007,0.093791871
,,,,,,,,,,,,,,,,,,,,,,,,,,
RL,D0601,105,333,228,59.25765771,59.25765771,0.259902007,0.29,180.6951364,180.6951364,0.276886364,#NAME?,0.19938,0.19938,100,0.218086667,0.218086667,150,0.25924,0.25924,250,0.300778333,0.300778333,350,0.295482174,0.295482174
RL,D0603,105,333,228,65.54177188,65.54177188,0.287463912,0.29,155.8841417,155.8841417,0.172544105,#NAME?,0.18459,0.18459,100,0.212855893,0.212855893,150,0.283113824,0.283113824,250,0.347910698,0.347910698,350,0.352807647,0.352807647
RL,D0605,105,333,228,52.97549708,52.97549708,0.232348671,0.29,306.7804878,306.7804878,0.629854803,#NAME?,0.18009,0.18009,100,0.186838387,0.186838387,150,0.230524717,0.230524717,250,0.276762143,0.276762143,350,0.290648293,0.290648293
RL,D0608,105,333,228,58.80534573,58.80534573,0.257918183,0.29,207.8662675,207.8662675,0.246553307,#NAME?,0.18703,0.18703,100,0.200630976,0.200630976,150,0.260512951,0.260512951,250,0.295983824,0.295983824,350,0.284045227,0.284045227
RL,D0614,105,333,228,65.52126157,65.52126157,0.287373954,0.29,140.430516,140.430516,0.13570057,#NAME?,0.22073,0.22073,100,0.237402857,0.237402857,150,0.299446875,0.299446875,250,0.330652286,0.330652286,350,0.338867838,0.338867838
RL,D0615,105,333,228,56.05138484,56.05138484,0.245839407,0.29,228.3118644,228.3118644,0.358922751,#NAME?,0.18779,0.18779,100,0.20795,0.20795,150,0.25427,0.25427,250,0.287091111,0.287091111,350,0.286080526,0.286080526
RL,D0616,105,333,228,60.28622182,60.28622182,0.264413254,0.29,201.8857143,201.8857143,0.263136863,#NAME?,0.22123,0.22123,100,0.230692,0.230692,150,0.271958235,0.271958235,250,0.300297347,0.300297347,350,0.320674444,0.320674444
RL,D0617,105,333,228,58.24456474,58.24456474,0.255458617,0.29,221.3871866,221.3871866,0.3150159,#NAME?,0.18894,0.18894,100,0.217892368,0.217892368,150,0.257562264,0.257562264,250,0.297461053,0.297461053,350,0.296007234,0.296007234
RL,D0620,105,333,228,56.99653576,56.99653576,0.249984806,0.29,,nan,1,#NAME?,0.22304,0.22304,100,0.225986279,0.225986279,150,0.270618,0.270618,250,0.288151667,0.288151667,350,0.277535,0.277535
RL,D0624,105,333,228,67.4520725,67.4520725,0.295842423,0.29,144.9755989,144.9755989,0.155395821,#NAME?,0.214,0.214,100,0.24945,0.24945,150,0.29453,0.29453,250,0.357173261,0.357173261,350,0.354146087,0.354146087
RL,D0627,105,333,228,59.85904103,59.85904103,0.262539654,0.29,196.2586172,196.2586172,0.270905693,#NAME?,0.18967,0.18967,100,0.207503529,0.207503529,150,0.2536016,0.2536016,250,0.320042308,0.320042308,350,0.308876667,0.308876667
RL,D0628,105,333,228,60.41495879,60.41495879,0.264977889,0.29,171.6032647,171.6032647,0.21500742,#NAME?,0.20583,0.20583,100,0.22497,0.22497,150,0.278292692,0.278292692,250,0.305897636,0.305897636,350,0.308206667,0.308206667
RL,D0629,105,333,228,56.925877,56.925877,0.249674899,0.29,235.088,235.088,0.497038961,#NAME?,0.16464,0.16464,100,0.192882,0.192882,150,0.249923333,0.249923333,250,0.294656364,0.294656364,350,0.3082272,0.3082272
RL,D0630,105,333,228,56.29342123,56.29342123,0.24690097,0.29,176.3989501,176.3989501,0.184548956,#NAME?,0.18556,0.18556,100,0.1994536,0.1994536,150,0.257997273,0.257997273,250,0.295214,0.295214,350,0.289470638,0.289470638
RL,D0631,105,333,228,67.16622915,67.16622915,0.294588724,0.29,136.9651838,136.9651838,0.141779497,#NAME?,0.21501,0.21501,100,0.246075882,0.246075882,150,0.304975556,0.304975556,250,0.345644194,0.345644194,350,0.347234681,0.347234681
RL,D0640,105,333,228,63.67348866,63.67348866,0.279269687,0.29,159.5091575,159.5091575,0.237636028,#NAME?,0.21555,0.21555,100,0.245095,0.245095,150,0.286106,0.286106,250,0.324322041,0.324322041,350,0.334473333,0.334473333
RL,D0643,105,333,228,67.34852665,67.34852665,0.295388275,0.29,155.8194865,155.8194865,0.169347643,#NAME?,0.236,0.236,100,0.240638571,0.240638571,150,0.282981923,0.282981923,250,0.347821964,0.347821964,350,0.352228,0.352228
